Date,Close/Last,Volume,Open,High,Low
12/23/2021,16299.00,342260,16180.00,16356.00,16145.25
12/22/2021,16169.75,470941,15979.00,16183.00,15881.50
12/21/2021,15980.00,525990,15674.25,15987.25,15605.00
12/20/2021,15621.25,667481,15809.50,15851.75,15492.00
12/17/2021,15788.00,794468,15878.00,15956.50,15651.75
12/16/2021,15866.75,786103,16288.00,16457.00,15793.00
12/15/2021,16288.00,155418,15928.50,16302.50,15744.50
12/14/2021,15924.75,261416,16085.00,16133.75,15738.50
12/13/2021,16082.00,270297,16321.75,16411.25,16064.25
12/10/2021,16329.75,387193,16158.50,16335.75,16133.75
12/09/2021,16148.75,607987,16380.50,16420.00,16120.25
12/08/2021,16392.25,490088,16360.50,16436.75,16251.50
12/07/2021,16318.00,585717,15848.75,16374.50,15824.50
12/06/2021,15842.75,689422,15716.25,15897.25,15559.25
12/03/2021,15717.75,889326,16020.00,16121.75,15538.00
12/02/2021,15988.50,850145,15891.75,16066.25,15762.75
12/01/2021,15869.75,855263,16238.75,16427.50,15825.25
11/30/2021,16150.50,842981,16419.00,16456.25,16068.75
11/29/2021,16390.75,591925,16046.50,16437.75,16038.00
11/26/2021,16051.00,669818,16405.75,16436.00,15988.00
11/24/2021,16366.00,649953,16300.25,16368.50,16102.00
11/23/2021,16312.00,893137,16399.00,16418.75,16118.50
11/22/2021,16382.00,761454,16600.25,16767.50,16364.50
11/19/2021,16575.00,539749,16503.25,16628.50,16490.25
11/18/2021,16481.25,593798,16322.50,16508.00,16303.50
11/17/2021,16311.50,453006,16297.75,16396.50,16270.00
11/16/2021,16300.75,420662,16198.50,16323.75,16142.00
11/15/2021,16187.75,479150,16212.25,16276.50,16082.25
11/12/2021,16192.75,416504,16043.75,16213.25,16001.75
11/11/2021,16022.75,431431,15989.00,16114.00,15976.00
11/10/2021,15980.50,652235,16201.25,16243.00,15896.50
11/09/2021,16212.75,555076,16315.50,16391.75,16160.00
11/08/2021,16327.75,412060,16293.00,16394.00,16256.00
11/05/2021,16351.75,520376,16335.00,16448.50,16292.00
11/04/2021,16330.75,516852,16129.50,16376.00,16129.50
11/03/2021,16129.75,444674,15957.75,16145.75,15935.25
11/02/2021,15961.25,416277,15891.00,15980.25,15849.50
11/01/2021,15894.25,406950,15885.25,15914.75,15768.50
10/29/2021,15838.50,480463,15679.75,15864.75,15595.50
10/28/2021,15764.75,494205,15595.00,15777.00,15591.75
10/27/2021,15587.25,529827,15532.25,15717.50,15507.25
10/26/2021,15545.00,575672,15543.00,15701.00,15503.00
10/25/2021,15495.75,452041,15324.25,15546.00,15295.75
10/22/2021,15341.00,540932,15383.00,15463.50,15273.75
10/21/2021,15478.75,433581,15357.50,15483.75,15301.00
10/20/2021,15377.50,445527,15411.00,15446.50,15319.00
10/19/2021,15398.50,379477,15289.75,15428.25,15269.00
10/18/2021,15290.50,419597,15145.00,15297.25,15038.75
10/15/2021,15134.50,430519,15063.75,15145.00,15020.75
10/14/2021,15037.25,419075,14770.25,15071.50,14767.50
10/13/2021,14764.25,545239,14594.00,14795.75,14591.00
10/12/2021,14653.25,596438,14688.50,14783.25,14585.50
10/11/2021,14700.50,508255,14810.25,14897.25,14677.00
10/08/2021,14808.25,547514,14891.25,14996.00,14790.75
10/07/2021,14881.25,490347,14768.00,15001.25,14767.00
10/06/2021,14759.00,753046,14662.00,14770.00,14422.50
10/05/2021,14655.25,566918,14493.75,14754.75,14410.50
10/04/2021,14462.25,777283,14785.00,14835.00,14367.75
10/01/2021,14761.75,657086,14702.25,14818.00,14537.00
09/30/2021,14682.50,693882,14769.75,14883.50,14670.25
09/29/2021,14739.75,643646,14769.25,14926.00,14711.00
09/28/2021,14764.75,823109,15172.25,15192.25,14740.75
09/27/2021,15194.75,535238,15319.00,15399.25,15084.00
09/24/2021,15318.75,462462,15300.25,15334.25,15176.75
09/23/2021,15303.50,507034,15178.25,15347.00,15175.25
09/22/2021,15163.50,595839,14992.75,15227.00,14930.50
09/21/2021,15024.00,657000,14992.00,15163.25,14963.25
09/20/2021,15009.50,834323,15284.00,15338.25,14807.50
09/17/2021,15326.00,631097,15497.75,15528.25,15276.25
09/16/2021,15509.50,473598,15509.75,15532.50,15358.75
09/15/2021,15496.50,510407,15390.00,15514.50,15307.75
09/14/2021,15387.00,233913,15452.25,15530.75,15351.25
09/13/2021,15436.75,353861,15452.50,15565.00,15350.25
09/10/2021,15441.50,396890,15561.00,15668.00,15433.50
09/09/2021,15558.75,528415,15610.00,15675.75,15545.75
09/08/2021,15620.00,555387,15671.00,15691.00,15523.75
09/07/2021,15674.75,537241,15702.00,15708.75,15606.75
09/03/2021,15651.50,457677,15601.00,15677.50,15552.25
09/02/2021,15601.00,459913,15610.00,15682.00,15551.75
09/01/2021,15609.25,459418,15599.50,15699.00,15578.50
08/31/2021,15582.50,515562,15605.50,15677.25,15517.75
08/30/2021,15597.50,413140,15432.75,15617.75,15420.00
08/27/2021,15426.50,435909,15286.00,15443.75,15265.50
08/26/2021,15274.75,561981,15367.25,15368.25,15255.25
08/25/2021,15364.25,403019,15362.25,15397.00,15333.00
08/24/2021,15355.50,362874,15327.00,15384.00,15309.50
08/23/2021,15304.50,405659,15090.00,15337.50,15086.50
08/20/2021,15086.75,496534,14943.25,15100.00,14851.00
08/19/2021,14928.00,722221,14840.00,14999.00,14710.50
08/18/2021,14849.25,562656,14970.25,15037.25,14806.50
08/17/2021,14997.50,681270,15131.50,15133.75,14897.00
08/16/2021,15134.00,585956,15119.25,15139.00,14917.25
08/13/2021,15125.75,362163,15079.75,15141.75,15055.25
08/12/2021,15078.50,382623,15008.50,15090.50,14941.25
08/11/2021,15019.50,474715,15045.00,15119.00,14963.00
08/10/2021,15044.50,469113,15128.75,15157.25,14994.50
08/09/2021,15125.25,356171,15090.25,15145.50,15003.25
08/06/2021,15095.50,413542,15167.75,15169.75,15047.25
08/05/2021,15167.75,337125,15081.75,15172.50,15069.25
08/04/2021,15073.50,439783,15038.00,15108.00,14997.00
08/03/2021,15046.25,516604,14962.25,15050.00,14849.00
08/02/2021,14952.75,442929,15023.50,15056.25,14932.25
07/30/2021,14955.75,499974,14905.25,14980.00,14811.25
07/29/2021,15037.75,410715,14984.75,15084.00,14905.00
07/28/2021,15011.50,573995,14875.75,15074.50,14866.00
07/27/2021,14947.75,665027,15125.25,15131.50,14774.25
07/26/2021,15117.75,387516,15098.00,15134.00,15038.75
07/23/2021,15098.00,441123,14979.50,15117.25,14934.25
07/22/2021,14928.50,418128,14836.75,14982.75,14826.75
07/21/2021,14827.75,397920,14729.75,14839.50,14668.25
07/20/2021,14722.75,521751,14593.75,14782.50,14516.75
07/19/2021,14540.75,708318,14675.00,14682.50,14445.00
07/16/2021,14670.50,532340,14778.50,14869.50,14656.00
07/15/2021,14787.50,622042,14895.00,14962.75,14708.25
07/14/2021,14891.75,495873,14869.75,14996.00,14841.25
07/13/2021,14865.00,503037,14880.00,14994.75,14794.50
07/12/2021,14869.25,357891,14824.00,14888.50,14785.00
07/09/2021,14810.50,418533,14710.25,14832.00,14640.75
07/08/2021,14712.25,627402,14812.00,14822.00,14540.50
07/07/2021,14802.25,467950,14764.50,14883.75,14726.25
07/06/2021,14775.50,547732,14694.75,14790.00,14625.25
07/02/2021,14713.75,384658,14543.75,14729.00,14513.25
